id,probability
0,0.912
1,0.896
2,1.0
3,0.046
4,0.336
5,0.86
6,0.55
7,0.648
8,0.41
9,0.698
10,0.994
11,0.948
12,0.712
13,0.448
14,0.878
15,0.738
16,0.326
17,0.068
18,0.972
19,0.906
20,0.654
21,0.25
22,0.744
23,0.794
24,0.976
25,0.2
26,0.326
27,0.478
28,0.158
29,0.454
30,0.932
31,0.988
32,0.942
33,0.572
34,0.98
35,0.008
36,0.594
37,0.994
38,0.96
39,0.784
40,0.672
41,0.274
42,0.89
43,0.978
44,0.31
45,0.084
46,0.976
47,0.588
48,0.948
49,0.99
50,0.678
51,0.816
52,0.976
53,0.444
54,0.982
55,0.096
56,0.128
57,0.338
58,0.6
59,0.158
60,0.056
61,0.896
62,0.668
63,0.658
64,0.968
65,0.802
66,0.114
67,0.064
68,0.972
69,0.83
70,0.248
71,0.836
72,0.698
73,1.0
74,0.722
75,0.41
76,0.958
77,0.576
78,0.244
79,0.998
80,0.996
81,0.462
82,0.822
83,0.824
84,0.376
85,0.76
86,0.254
87,0.154
88,0.652
89,0.732
90,0.96
91,1.0
92,0.842
93,0.998
94,0.548
95,0.802
96,0.832
97,0.78
98,0.244
99,0.998
100,0.984
101,0.934
102,0.42
103,0.358
104,0.906
105,0.33
106,0.912
107,0.944
108,0.942
109,0.67
110,0.098
111,0.404
112,0.698
113,0.878
114,0.528
115,0.69
116,0.958
117,0.082
118,1.0
119,0.988
120,0.784
121,0.894
122,0.088
123,0.966
124,0.51
125,0.658
126,0.968
127,0.452
128,0.892
129,0.47
130,0.59
131,0.812
132,0.576
133,0.73
134,0.898
135,0.008
136,0.842
137,0.824
138,0.776
139,0.568
140,0.926
141,0.468
142,0.29
143,0.226
144,0.572
145,0.392
146,0.036
147,0.924
148,0.67
149,0.96
150,0.994
151,0.044
152,0.662
153,0.904
154,0.346
155,0.848
156,0.962
157,0.802
158,0.18
159,0.692
160,0.108
161,0.702
162,0.226
163,0.722
164,0.74
165,0.476
166,0.962
167,0.688
168,0.822
169,0.798
170,0.57
171,0.608
172,0.644
173,0.63
174,0.854
175,0.904
176,0.83
177,0.674
178,0.554
179,0.796
180,0.852
181,0.522
182,0.468
183,0.96
184,0.4
185,0.988
186,0.038
187,0.946
188,0.96
189,0.904
190,0.174
191,0.9
192,0.58
193,0.628
194,0.092
195,0.274
196,0.75
197,0.418
198,0.896
199,0.212
200,0.708
201,0.908
202,0.854
203,0.906
204,0.596
205,0.686
206,0.1
