id,home_team_win
0,0.8
1,0.3
2,0.1
3,1.0
4,0.0
5,0.8
6,1.0
7,0.1
8,0.9
9,0.9
10,0.9
11,0.7
12,0.7
13,1.0
14,0.8
15,0.8
16,0.6
17,0.5
18,0.9
19,0.5
20,1.0
21,0.7
22,1.0
23,0.8
24,0.4
25,1.0
26,0.7
27,0.3
28,0.1
29,1.0
30,0.9
31,1.0
32,0.2
33,0.9
34,0.9
35,0.6
36,1.0
37,1.0
38,0.5
39,0.4
40,0.7
41,1.0
42,0.0
43,0.5
44,1.0
45,0.0
46,0.6
47,1.0
48,1.0
49,0.8
50,0.9
51,1.0
52,0.1
53,0.5
54,0.1
55,1.0
56,0.1
57,0.8
58,0.8
59,0.5
60,0.0
61,1.0
62,0.3
63,0.9
64,0.2
65,0.9
66,0.6
67,1.0
68,1.0
69,0.8
70,0.9
71,1.0
72,0.7
73,0.7
74,0.2
75,0.9
76,1.0
77,0.6
78,0.9
79,0.7
80,0.4
81,0.3
82,0.9
83,1.0
84,0.7
85,0.9
86,1.0
87,0.8
88,0.3
89,0.0
90,0.4
91,0.4
92,1.0
93,0.0
94,0.9
95,0.0
96,0.0
97,1.0
98,1.0
99,0.8
100,0.6
101,1.0
102,0.5
103,0.7
104,0.4
105,1.0
106,1.0
107,0.9
108,0.0
109,0.8
110,0.6
111,1.0
112,1.0
113,0.2
114,0.1
115,0.4
116,1.0
117,1.0
118,0.5
119,0.9
120,1.0
121,0.8
122,1.0
123,0.0
124,1.0
125,0.9
126,0.2
127,0.7
128,0.8
129,0.4
130,0.0
131,0.9
132,0.9
133,0.2
134,0.5
135,0.0
136,1.0
137,0.8
138,1.0
139,0.5
140,0.7
141,1.0
142,0.1
143,1.0
144,0.2
145,0.9
146,1.0
147,0.2
148,0.5
149,0.5
150,1.0
151,0.3
152,1.0
153,0.2
154,0.4
155,1.0
156,0.4
157,0.1
158,1.0
159,0.6
160,1.0
161,1.0
162,0.0
163,0.9
164,0.8
165,1.0
166,0.7
167,0.4
168,1.0
169,0.9
170,0.8
171,1.0
172,1.0
173,0.4
174,0.7
175,0.6
176,0.7
177,0.0
178,1.0
179,0.7
180,1.0
181,1.0
182,0.8
183,0.7
184,1.0
185,0.0
186,0.1
187,1.0
188,0.4
189,1.0
190,0.0
191,0.9
192,0.8
193,0.8
194,0.9
195,0.0
196,1.0
197,1.0
198,0.0
199,0.2
200,0.6
201,0.9
202,0.7
203,0.9
204,0.3
205,0.8
206,0.0
207,1.0
208,1.0
209,0.1
210,0.4
211,0.7
212,0.1
213,0.5
214,0.0
215,0.9
216,1.0
217,1.0
218,0.0
219,0.7
220,0.9
221,0.5
222,0.1
223,1.0
224,0.1
225,0.6
226,0.5
227,0.9
228,0.3
229,0.6
230,0.9
231,0.5
232,0.3
233,1.0
234,0.6
235,1.0
236,0.5
237,0.6
238,0.0
239,0.6
240,1.0
241,0.6
242,0.1
243,1.0
244,0.0
245,0.8
246,0.7
247,0.7
248,0.8
249,0.0
250,0.5
251,0.0
252,0.3
253,0.5
254,0.6
255,0.3
256,0.9
257,0.0
258,1.0
259,0.0
260,0.7
261,0.5
262,1.0
263,0.0
264,0.1
265,0.9
266,0.9
267,0.5
268,0.7
269,0.9
270,1.0
271,0.9
272,1.0
273,0.1
274,1.0
275,0.7
276,0.5
277,1.0
278,0.2
279,1.0
280,0.0
281,1.0
282,0.2
283,0.7
284,1.0
285,0.0
286,0.0
287,1.0
288,1.0
289,0.9
290,1.0
291,1.0
292,0.2
293,0.2
294,1.0
295,0.1
296,0.3
297,0.9
298,0.9
299,1.0
300,0.7
301,1.0
302,0.9
303,0.1
304,0.4
305,1.0
306,0.6
307,0.9
308,0.6
309,0.1
310,0.7
311,0.1
312,0.0
313,0.8
314,0.8
315,1.0
316,0.4
317,0.0
318,0.7
319,1.0
320,1.0
321,0.8
322,1.0
323,0.5
324,0.1
325,1.0
326,0.3
327,0.9
328,0.5
329,1.0
330,0.9
331,0.6
332,1.0
333,0.0
334,0.1
335,1.0
336,0.2
337,0.2
338,0.0
339,1.0
340,0.9
341,0.2
342,0.8
343,0.7
