id,probability
0,0.9
1,0.5
2,0.0
3,1.0
4,0.0
5,0.6
6,1.0
7,0.1
8,0.8
9,0.5
10,0.6
11,0.1
12,0.8
13,1.0
14,0.7
15,0.4
16,0.5
17,0.6
18,0.9
19,0.3
20,1.0
21,0.3
22,1.0
23,0.7
24,0.1
25,1.0
26,0.8
27,0.6
28,0.1
29,1.0
30,0.9
31,1.0
32,0.2
33,0.6
34,1.0
35,0.4
36,0.7
37,1.0
38,0.1
39,0.5
40,0.7
41,0.7
42,0.0
43,0.4
44,1.0
45,0.0
46,0.6
47,1.0
48,0.4
49,0.6
50,0.8
51,0.5
52,0.0
53,0.5
54,0.6
55,0.9
56,0.3
57,0.9
58,0.5
59,0.5
60,0.0
61,1.0
62,0.7
63,0.7
64,0.6
65,0.9
66,0.2
67,0.7
68,0.9
69,1.0
70,1.0
71,1.0
72,0.4
73,0.7
74,0.2
75,1.0
76,1.0
77,0.5
78,0.7
79,0.5
80,0.2
81,0.8
82,0.8
83,0.5
84,0.8
85,0.6
86,1.0
87,0.3
88,0.4
89,0.0
90,0.2
91,0.4
92,1.0
93,0.0
94,0.5
95,0.0
96,0.1
97,0.8
98,1.0
99,1.0
100,0.9
101,0.8
102,0.6
103,0.9
104,0.7
105,0.9
106,1.0
107,0.8
108,0.0
109,0.5
110,0.1
111,1.0
112,1.0
113,0.3
114,0.2
115,0.4
116,0.9
117,1.0
118,0.7
119,1.0
120,1.0
121,0.8
122,1.0
123,0.0
124,1.0
125,0.8
126,0.3
127,0.7
128,0.9
129,0.5
130,0.1
131,0.6
132,0.8
133,0.1
134,0.5
135,0.0
136,0.9
137,1.0
138,1.0
139,0.7
140,0.6
141,1.0
142,0.0
143,1.0
144,0.1
145,0.8
146,1.0
147,0.1
148,0.5
149,0.4
150,1.0
151,0.4
152,1.0
153,0.1
154,0.3
155,0.6
156,0.2
157,0.2
158,0.9
159,0.5
160,1.0
161,1.0
162,0.0
163,0.7
164,0.9
165,1.0
166,0.8
167,0.6
168,0.7
169,0.5
170,0.8
171,1.0
172,1.0
173,0.2
174,0.7
175,0.4
176,0.3
177,0.0
178,1.0
179,0.9
180,0.8
181,1.0
182,0.8
183,0.8
184,1.0
185,0.0
186,0.0
187,1.0
188,0.4
189,1.0
190,0.0
191,0.8
192,0.8
193,0.7
194,0.9
195,0.1
196,1.0
197,1.0
198,0.0
199,0.1
200,0.3
201,0.8
202,0.6
203,0.5
204,0.1
205,1.0
206,0.0
207,1.0
208,1.0
209,0.0
210,0.2
211,0.4
212,0.0
213,0.6
214,0.0
215,0.6
216,1.0
217,0.9
218,0.1
219,0.7
220,0.9
221,0.6
222,0.0
223,0.7
224,0.0
225,1.0
226,0.3
227,0.9
228,0.6
229,0.3
230,0.9
231,0.5
232,0.4
233,1.0
234,0.4
235,1.0
236,0.4
237,0.5
238,0.1
239,0.9
240,0.9
241,0.4
242,0.1
243,1.0
244,0.2
245,0.8
246,0.5
247,0.7
248,0.8
249,0.0
250,0.3
251,0.0
252,0.3
253,0.3
254,0.6
255,0.3
256,0.9
257,0.2
258,1.0
259,0.3
260,0.5
261,0.8
262,0.9
263,0.0
264,0.0
265,0.9
266,0.7
267,0.1
268,0.9
269,1.0
270,0.9
271,0.9
272,1.0
273,0.0
274,1.0
275,0.8
276,0.6
277,1.0
278,0.0
279,0.9
280,0.0
281,1.0
282,0.6
283,0.2
284,1.0
285,0.0
286,0.1
287,0.9
288,1.0
289,0.9
290,1.0
291,1.0
292,0.1
293,0.4
294,0.8
295,0.2
296,0.4
297,1.0
298,0.6
299,0.7
300,0.6
301,1.0
302,0.7
303,0.3
304,0.3
305,1.0
306,0.4
307,0.8
308,0.6
309,0.1
310,0.8
311,0.2
312,0.0
313,0.8
314,1.0
315,1.0
316,0.4
317,0.0
318,0.8
319,1.0
320,0.9
321,0.6
322,0.9
323,0.5
324,0.2
325,1.0
326,0.4
327,0.4
328,0.7
329,1.0
330,0.6
331,1.0
332,1.0
333,0.2
334,0.1
335,0.6
336,0.0
337,0.1
338,0.0
339,0.8
340,1.0
341,0.1
342,0.4
343,0.8
344,0.2
345,0.8
346,1.0
347,1.0
348,0.9
349,0.9
350,0.6
351,0.1
352,0.6
353,0.6
354,0.8
355,0.0
356,0.2
357,0.1
358,1.0
359,1.0
360,0.8
361,0.1
362,0.2
363,0.8
364,1.0
365,0.9
366,0.2
367,0.0
368,0.3
369,1.0
370,0.2
371,0.6
372,0.7
373,0.1
374,0.3
375,0.0
376,0.4
377,0.2
378,0.9
379,0.5
380,0.0
381,0.8
382,0.2
383,1.0
384,0.0
385,0.7
386,0.1
387,0.9
388,0.6
389,0.8
390,1.0
391,1.0
392,0.9
393,0.1
394,0.6
395,1.0
396,1.0
397,0.7
398,0.5
399,1.0
400,0.5
401,0.7
402,0.1
403,0.4
404,0.4
405,0.7
406,0.0
407,0.2
408,0.5
409,1.0
410,1.0
411,0.2
412,1.0
413,0.0
414,1.0
415,0.0
416,0.8
417,0.7
418,0.0
419,0.5
420,1.0
421,1.0
422,1.0
423,1.0
424,0.1
425,1.0
426,0.7
427,0.7
428,1.0
429,0.2
430,0.1
431,0.5
432,0.2
433,1.0
434,0.2
435,0.1
436,0.9
437,1.0
438,1.0
439,0.8
440,0.0
441,0.4
442,0.0
443,0.4
444,0.0
445,0.9
446,0.8
447,1.0
448,0.9
449,0.9
450,1.0
451,0.8
452,1.0
453,0.8
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,0.9
460,0.5
461,0.3
462,0.9
463,1.0
464,1.0
465,0.8
466,0.0
467,0.0
468,0.4
469,1.0
470,0.8
471,0.1
472,0.6
473,0.0
474,1.0
475,1.0
476,0.1
477,0.1
478,1.0
479,1.0
480,0.3
481,0.7
482,0.4
483,0.0
484,0.6
485,1.0
486,0.3
487,1.0
488,0.6
489,0.7
490,0.3
491,0.0
492,1.0
493,0.4
494,0.5
495,0.6
496,0.0
